843598,Unassigned,,,Skipped,Download link not found
843598,3607302,media_1.jpg,sera_media\Customer_843598\Job_3607302\media_1.jpg,Downloaded,
843598,5039847,media_2.jpg,sera_media\Customer_843598\Job_5039847\media_2.jpg,Downloaded,
843598,5517233,media_3.jpg,sera_media\Customer_843598\Job_5517233\media_3.jpg,Downloaded,
843598,1100786,quote_627392_signed_2022-02-17_8-08am.pdf,sera_media\Customer_843598\Job_1100786\quote_627392_signed_2022-02-17_8-08am.pdf,Downloaded,
843598,1100786,invoice_1040003_signed_2022-02-17.pdf,sera_media\Customer_843598\Job_1100786\invoice_1040003_signed_2022-02-17.pdf,Downloaded,
843598,1295602,quote_667430_signed_2022-05-10_1-50pm.pdf,sera_media\Customer_843598\Job_1295602\quote_667430_signed_2022-05-10_1-50pm.pdf,Downloaded,
843598,1295602,invoice_1236662_signed_2022-05-10.pdf,sera_media\Customer_843598\Job_1295602\invoice_1236662_signed_2022-05-10.pdf,Downloaded,
843598,1915604,1556830766_BBCE5F7D-1B99-4B76-8762-B9F3AC03D16B.jpeg,sera_media\Customer_843598\Job_1915604\1556830766_BBCE5F7D-1B99-4B76-8762-B9F3AC03D16B.jpeg,Downloaded,
843598,1915604,1556830765_4DEFF37D-5DB6-422B-A846-FF3D6BAF3E72.jpeg,sera_media\Customer_843598\Job_1915604\1556830765_4DEFF37D-5DB6-422B-A846-FF3D6BAF3E72.jpeg,Downloaded,
843598,1915604,1556830763_947D4556-72F9-409E-86FB-F4FA2459430A.jpeg,sera_media\Customer_843598\Job_1915604\1556830763_947D4556-72F9-409E-86FB-F4FA2459430A.jpeg,Downloaded,
843598,1915604,1556830763_6AC60B0D-8901-4F56-8756-9D38C95888E8.jpeg,sera_media\Customer_843598\Job_1915604\1556830763_6AC60B0D-8901-4F56-8756-9D38C95888E8.jpeg,Downloaded,
843598,1915604,1556830762_6EF5509F-8602-46AE-B260-43BEB0F05744.jpeg,sera_media\Customer_843598\Job_1915604\1556830762_6EF5509F-8602-46AE-B260-43BEB0F05744.jpeg,Downloaded,
843598,1915604,1556830761_7B595202-4FDF-4C7D-AF73-3016C255D7D0.jpeg,sera_media\Customer_843598\Job_1915604\1556830761_7B595202-4FDF-4C7D-AF73-3016C255D7D0.jpeg,Downloaded,
843598,1915604,1556830758_2DAA547D-C351-4AEC-9AA2-29D8A6CCB372.jpeg,sera_media\Customer_843598\Job_1915604\1556830758_2DAA547D-C351-4AEC-9AA2-29D8A6CCB372.jpeg,Downloaded,
843598,1915604,1556830753_63DF7AA1-16F6-4E13-8AE0-559110846E6F.jpeg,sera_media\Customer_843598\Job_1915604\1556830753_63DF7AA1-16F6-4E13-8AE0-559110846E6F.jpeg,Downloaded,
843598,1915604,1556830748_6140FC63-9653-49F0-A102-67F9D85174BA.jpeg,sera_media\Customer_843598\Job_1915604\1556830748_6140FC63-9653-49F0-A102-67F9D85174BA.jpeg,Downloaded,
843598,1915604,1556830747_AFB4D4D1-7FDA-4DD8-AF8F-F5D45DEDCF1D.jpeg,sera_media\Customer_843598\Job_1915604\1556830747_AFB4D4D1-7FDA-4DD8-AF8F-F5D45DEDCF1D.jpeg,Downloaded,
843598,1915604,1556830747_27881FD0-5DF7-4F54-BD84-8F3F59AEE9F1.jpeg,sera_media\Customer_843598\Job_1915604\1556830747_27881FD0-5DF7-4F54-BD84-8F3F59AEE9F1.jpeg,Downloaded,
843598,3607302,quote_998981_signed_2023-04-26_9-16am.pdf,sera_media\Customer_843598\Job_3607302\quote_998981_signed_2023-04-26_9-16am.pdf,Downloaded,
